,Unnamed: 0,Rating,Review title,Review,cleaned,lemmatized,polarity,review_len,avg_word_len,pie_bins,pie_quantile_bins,Rating satisfaction,Polarity satisfaction,Match,3608,,,
10,10,3,Poor quality product. Not meet to our standards.,The product as looks is not competable with image. The inner images is totally different. There is no compartment for pen and pencil as shown in picture.Material are not at standard level of american tourister.May be  some one cheating company with his brand. Very poor quality.As I have to move with on urgent basis. Otherwise I have to go return and buy new from market.I do not believe it that Amazon too is going to loose his brand credibility.,The product as looks is not competable with image The inner images is totally different There is no compartment for pen and pencil as shown in picture Material are not at standard level of american tourister May be some one cheating company with his brand Very poor quality As I have to move with on urgent basis Otherwise I have to go return and buy new from market I do not believe it that Amazon too is going to loose his brand credibility ,product look competable image inner image totally different compartment pen pencil show picture material standard level american tourister cheat company brand poor quality urgent basis return buy new market believe Amazon go loose brand credibility,-0.048651349,248,6.114285714,"(5.8, 8.2]","(6.0, 13.0]",1,0,FALSE,,,,
11,11,5,Best product at this price 😄😄😁😁😃😍🤩,"This backpack is amazing..First I ordered the same bag with grey colour from Flipkart but the  price was 1234.56 rupees but when I searched this product from Amazon price was 920 only.... And also delivery time was osm. U can go through with this bag for travelling ,school ,college nd etc. U all can judge from pics😄",This backpack is amazing First I ordered the same bag with grey colour from Flipkart but the price was rupees but when I searched this product from Amazon price was only And also delivery time was osm U can go through with this bag for travelling school college nd etc U all can judge from pics😄,backpack amazing order bag grey colour Flipkart price rupee search product Amazon price delivery time osm u bag travel school college nd etc U judge pic 😄,0.275,154,4.740740741,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
12,12,4,Very Good,The bag quality is very good and very light weight.,The bag quality is very good and very light weight ,bag quality good light weight,0.55,29,5,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
13,13,5,😉😉😉😉😉😎😎😎😎,Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity,Okk super product but the material is not like shown in picture but overall I review it out of stars nyc item and also it has very good storage capacity,Okk super product material like show picture overall review star nyc item good storage capacity,0.344444444,95,5.4,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
14,14,1,Bad product,"Not at all good waste one. After a month it gets toron, not at all water proof 😤",Not at all good waste one After a month it gets toron not at all water proof 😤,good waste month get toron water proof 😤,0.25,40,4.125,"(3.4, 5.8]","(4.0, 5.0]",0,1,FALSE,,,,
15,15,5,Great product!!!,"Using it for around 2 months. This bag is quite large than what it seems in the image. The red colour also looks good. Ideal for students from 9 standards till last year of graduation.And yeah, do not u worry: it is original American Tourister bag!",Using it for around months This bag is quite large than what it seems in the image The red colour also looks good Ideal for students from standards till last year of graduation And yeah do not u worry it is original American Tourister bag ,month bag large image red colour look good Ideal student standard till year graduation yeah u worry original American Tourister bag,0.312755102,131,5.285714286,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
16,16,5,Awesome💓,Bag is quite good.. original american tourister,Bag is quite good original american tourister,Bag good original american tourister,0.358333333,36,6.4,"(5.8, 8.2]","(6.0, 13.0]",1,1,TRUE,,,,
17,17,1,Bad quality,I bought the bag relaying upon the brand and Amazon. But quality of the bag is very poor. Three months old bag looks like three years old. I was very disappointed. Never expects such a bad quality product from an international brand like American toutister. Please do not buy. I actually want to return the bag since it is within warranty period.,I bought the bag relaying upon the brand and Amazon But quality of the bag is very poor Three months old bag looks like three years old I was very disappointed Never expects such a bad quality product from an international brand like American toutister Please do not buy I actually want to return the bag since it is within warranty period ,buy bag relay brand Amazon quality bag poor month old bag look like year old disappointed expect bad quality product international brand like american toutister buy actually want return bag warranty period,-0.20625,205,5.4375,"(3.4, 5.8]","(5.0, 5.5]",0,0,TRUE,,,,
18,18,1,I want to replace it,"I hate everything in the bag and the strap is torn off ,I want to replace it",I hate everything in the bag and the strap is torn off I want to replace it,hate bag strap tear want replace,-0.8,32,4.5,"(3.4, 5.8]","(4.0, 5.0]",0,0,TRUE,,,,
19,19,5,Marvellous product!!!!!!!,Build quality is excellent. The bag is water resistant. The graphics on bag make the more attractive. I am totally satisfied with this backbag. It is very very light weight. Thank you American Tourister for manufacturing this marvellous product. Best backbag under 1200/-,Build quality is excellent The bag is water resistant The graphics on bag make the more attractive I am totally satisfied with this backbag It is very very light weight Thank you American Tourister for manufacturing this marvellous product Best backbag under ,build quality excellent bag water resistant graphic bag attractive totally satisfied backbag light weight thank American Tourister manufacture marvellous product good backbag,0.485714286,174,6.954545455,"(5.8, 8.2]","(6.0, 13.0]",1,1,TRUE,,,,
20,20,1,Caution! Do not waste your money,Bag started tearing within 2 weeks of usage.  Had taken for my kid for class 3. Books plus lunch box is less than 3 kgs. Outside water bottle pocket could not handle 750 ml water bottle and is completely torn on both sides. Complete wastage of your money.  I bought after reading review and americian tourister brand but in vain!,Bag started tearing within weeks of usage Had taken for my kid for class Books plus lunch box is less than kgs Outside water bottle pocket could not handle ml water bottle and is completely torn on both sides Complete wastage of your money I bought after reading review and americian tourister brand but in vain ,Bag start tear week usage take kid class book plus lunch box kgs outside water bottle pocket handle ml water bottle completely tear side complete wastage money buy read review americian tourister brand vain,0.066666667,206,5.088235294,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,,,
21,21,5,A Wonderfully durable Backpack,"Bag was safely packaged,Bag is as same as it is shown in the image.Bag quality is very nice, 4 compartments, & a bottle holder.Belt quality is good,Specially it is light weight with tough durability, thats best for traveling purposes.Also it is water resistant like sprinkling rain could not affect it at all.But normal rain and heavy rain might get in.All over as a backpack its compartment are quite spacious.",Bag was safely packaged Bag is as same as it is shown in the image Bag quality is very nice compartments a bottle holder Belt quality is good Specially it is light weight with tough durability thats best for traveling purposes Also it is water resistant like sprinkling rain could not affect it at all But normal rain and heavy rain might get in All over as a backpack its compartment are quite spacious ,Bag safely package Bag show image Bag quality nice compartment bottle holder Belt quality good specially light weight tough durability s good travel purpose water resistant like sprinkle rain affect normal rain heavy rain backpack compartment spacious,0.307638889,251,5.810810811,"(5.8, 8.2]","(5.5, 6.0]",1,1,TRUE,,,,
22,22,1,I want to exchange this item because it tore in 2 months you give me a warranty of that so exchange,"I WANT TO EXCHANGE that item because it tore fully i go to for travelling with that bag and i store light weight things in it like chips water bottle and snacks. I come to my house after 5,6 days so i see this the bsg was tore inside and under it . So i want to exchange this you give me a world wide warranty of it of one(1) year. So sir plz exchange that item i will buy on 15 april 2019",I WANT TO EXCHANGE that item because it tore fully i go to for travelling with that bag and i store light weight things in it like chips water bottle and snacks I come to my house after days so i see this the bsg was tore inside and under it So i want to exchange this you give me a world wide warranty of it of one year So sir plz exchange that item i will buy on april ,want EXCHANGE item tear fully travel bag store light weight thing like chip water bottle snack come house day bsg tear inside want exchange world wide warranty year sir plz exchange item buy april,0.15,196,4.794117647,"(3.4, 5.8]","(4.0, 5.0]",0,1,FALSE,,,,
23,23,1,Bad quality product,"Within a month of usage, the bag material is shredding of its own.",Within a month of usage the bag material is shredding of its own ,month usage bag material shred,0,30,5.2,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,,,
24,24,3,"strength, weight, cost","While cost is considered I bought it really cheap less than 900 or 800 ,I do not remember , and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things.It is light weight w.r.t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of paddingThere are a lot of pockets in the first compartment which you will be of a great useIf you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better oneThis one is sold in market because in has a logo of american tuorister nothing more than that",While cost is considered I bought it really cheap less than or I do not remember and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things It is light weight w r t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of paddingThere are a lot of pockets in the first compartment which you will be of a great useIf you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better oneThis one is sold in market because in has a logo of american tuorister nothing more than that,cost consider buy cheap remember respect price accept product quality not carry lot item handle regular use college use school recommend need carry lot thing light weight w r t size recommend carry laptop cloth delicate will not provide kind paddingthere lot pocket compartment great useIf think buy bag recommend little money buy well onethis sell market logo american tuorister,0.2140625,379,5.333333333,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
25,25,5,Extremely good quality bag,"Received it on the very next day of ordering. The bag came well packed and in perfect condition. It looks very classy. Its original American Tourister bag with a warranty card. Its light weight and looks sturdy. Stitches and all were perfect when received. I am yet to use it, will update the review after few months of using it.",Received it on the very next day of ordering The bag came well packed and in perfect condition It looks very classy Its original American Tourister bag with a warranty card Its light weight and looks sturdy Stitches and all were perfect when received I am yet to use it will update the review after few months of using it ,receive day order bag come packed perfect condition look classy original American Tourister bag warranty card light weight look sturdy stitch perfect receive use update review month,0.479166667,181,5.740740741,"(3.4, 5.8]","(5.5, 6.0]",1,1,TRUE,,,,
26,26,1,One Star,STITCHING IS NOT GOOD. CLOTH ALSO NOT GOOD.WITHIN ONE MONTH TEAR BOTTOM SIDE,STITCHING IS NOT GOOD CLOTH ALSO NOT GOOD WITHIN ONE MONTH TEAR BOTTOM SIDE,stitching good cloth good month tear,0.7,36,5.166666667,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,,,
27,27,1,Never go for it. Looks like copy of American Tourister,I looks wonderful in pics but worst in original when you receive it. It looks like you had purchased a copy from some delhi markets at cost of 300-400 rs. You cant believe it is American Tourister Bag. Amazon must verify the Quality is it American Tourister ?,I looks wonderful in pics but worst in original when you receive it It looks like you had purchased a copy from some delhi markets at cost of rs You cant believe it is American Tourister Bag Amazon must verify the Quality is it American Tourister ,look wonderful pic bad original receive look like purchase copy delhi market cost r not believe American Tourister Bag Amazon verify quality American Tourister,0.135,159,5.666666667,"(3.4, 5.8]","(5.5, 6.0]",0,1,FALSE,,,,
28,28,1,Very poor,It is looks like a duplicate product. Very poor stitching quality like a road side bag. I do not expect from Amazon.,It is looks like a duplicate product Very poor stitching quality like a road side bag I do not expect from Amazon ,look like duplicate product poor stitching quality like road bag expect Amazon,-0.4,78,5.583333333,"(3.4, 5.8]","(5.5, 6.0]",0,0,TRUE,,,,
29,29,1,The bag torned in one month from the bottom,"The bag is good, large but the colour is not as dark as shown in image of the bag also it just torned in one month... I also did not received the warranty card... I think its duplicate American tourister",The bag is good large but the colour is not as dark as shown in image of the bag also it just torned in one month I also did not received the warranty card I think its duplicate American tourister,bag good large colour dark show image bag torne month receive warranty card think duplicate american tourister,0.191071429,110,5.529411765,"(3.4, 5.8]","(5.5, 6.0]",0,1,FALSE,,,,
30,30,1,"Very Costly ,Poor Quality,Poor Service","I had bought this product by seeing it is review,but reality is different. This product is actually imported from China,Its really expensive due to its import duty.I am using it from last 6 months.Its quality is not in accordance with its price.It gets torned within few days of using it.Since the product is under warranty ,I tried to connect call center number mentioned in warranty card but the number was wrong.Then I decided to go in service center but they denied to repair.Please do not waste your money to buy this product.Better you go with other products which is Made in India Only.",I had bought this product by seeing it is review but reality is different This product is actually imported from China Its really expensive due to its import duty I am using it from last months Its quality is not in accordance with its price It gets torned within few days of using it Since the product is under warranty I tried to connect call center number mentioned in warranty card but the number was wrong Then I decided to go in service center but they denied to repair Please do not waste your money to buy this product Better you go with other products which is Made in India Only ,buy product see review reality different product actually import China expensive import duty month quality accordance price get torne day product warranty try connect center number mention warranty card number wrong decide service center deny repair waste money buy product better product India,-0.1125,294,5.860465116,"(5.8, 8.2]","(5.5, 6.0]",0,0,TRUE,,,,
31,31,5,The best product,Good quality best product fast delivery and made with best quality of material and awesome size good colour best zip many pockets,Good quality best product fast delivery and made with best quality of material and awesome size good colour best zip many pockets,good quality good product fast delivery good quality material awesome size good colour good zip pocket,0.671428571,102,5.4375,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
32,32,5,I love it,It is a good bag light weight and the stickers will not fade I am using it for 6 months. honest review the bag is good for that price so much spaces inside the bag I am using it every day the packaging is very good I love this bag nice design. And the stitches are very tough good product from American Tourister.I had not faced any problems while using this bag till now. The bag is not water resistant. Value for money,It is a good bag light weight and the stickers will not fade I am using it for months honest review the bag is good for that price so much spaces inside the bag I am using it every day the packaging is very good I love this bag nice design And the stitches are very tough good product from American Tourister I had not faced any problems while using this bag till now The bag is not water resistant Value for money,good bag light weight sticker fade month honest review bag good price space inside bag day packaging good love bag nice design stitch tough good product American Tourister face problem bag till bag water resistant value money,0.451111111,225,5.108108108,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
33,33,5,Perfect size for class 9,"Ordered this for my niece who is in class 9, she liked it as it can fit all her stuff and is easy to carry. All the zips and pockets are still working without any issue after 4 months. But now it is not being used very much  as all the schools are shut indefinitely.  But the bag is good , there is no issue that we faced.",Ordered this for my niece who is in class she liked it as it can fit all her stuff and is easy to carry All the zips and pockets are still working without any issue after months But now it is not being used very much as all the schools are shut indefinitely But the bag is good there is no issue that we faced ,order niece class like fit stuff easy carry zip pocket work issue month school shut indefinitely bag good issue face,0.511111111,116,4.85,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
34,34,4,Missing key chain,The product is superb with light weight.the only thing is missing is the key chain which is being provided by the brand. And the warranty card seller stamping is not done.,The product is superb with light weight the only thing is missing is the key chain which is being provided by the brand And the warranty card seller stamping is not done ,product superb light weight thing miss key chain provide brand warranty card seller stamping,0.466666667,92,5.642857143,"(3.4, 5.8]","(5.5, 6.0]",1,1,TRUE,,,,
35,35,3,It's ok... Not very good... Not very bad...!,This product is good. But it does have many flaws. First of all the Sticthing is not upto the mark. Secondly it does not have a laptop carrying space( it is mentioned in the specs also). Thirdly the material which is used is not that good especially the interior spaces.The good part is it is very much light weighed. Abundance of space for a bag of this size. For 850₹ this bag is ok. First look is stylish.,This product is good But it does have many flaws First of all the Sticthing is not upto the mark Secondly it does not have a laptop carrying space it is mentioned in the specs also Thirdly the material which is used is not that good especially the interior spaces The good part is it is very much light weighed Abundance of space for a bag of this size For ₹ this bag is ok First look is stylish ,product good flaw Sticthing upto mark secondly laptop carry space mention spec thirdly material good especially interior space good light weigh abundance space bag size ₹ bag ok look stylish,0.388888889,190,5.366666667,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
36,36,5,Worth for money,"Writing tjis review after using this product for some weeksFirst i have to say one thing that this is absolute worth for moneyIts water resistant and they are also  providing a rain coat with itIt is user friendly bcz its light weiaght and have enough space for keeping the things inIt is perfect for school, office, and travel purposesMy younger brother is also using this productIt is absolutely perfect for any purposes and for all age group",Writing tjis review after using this product for some weeksFirst i have to say one thing that this is absolute worth for moneyIts water resistant and they are also providing a rain coat with itIt is user friendly bcz its light weiaght and have enough space for keeping the things inIt is perfect for school office and travel purposesMy younger brother is also using this productIt is absolutely perfect for any purposes and for all age group,Writing tjis review product weeksfirst thing absolute worth moneyIts water resistant provide rain coat itIt user friendly bcz light weiaght space keep thing inIt perfect school office travel purposesMy young brother productit absolutely perfect purpose age group,0.482142857,262,6.108108108,"(5.8, 8.2]","(6.0, 13.0]",1,1,TRUE,,,,
37,37,5,American tourists 32 Ltr grey,"Dear friend , I ordered this bag and now I fully satisfy with its quality and space in it. And delivery was too good. I purchase it 918 rs and after I got some another discount so effective price is 780 rs. So if u want buy this bag so u can purchase it.",Dear friend I ordered this bag and now I fully satisfy with its quality and space in it And delivery was too good I purchase it rs and after I got some another discount so effective price is rs So if u want buy this bag so u can purchase it ,dear friend order bag fully satisfy quality space delivery good purchase rs get discount effective price rs u want buy bag u purchase,0.65,133,4.826086957,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
38,38,3,Not good,"The colour is not as bright as shown in the images its very fade,the straps have very less cushioning and the bag material also feels cheap, padding is not adequate you can find better quality bags than this in your nearest store,dont go fot it.",The colour is not as bright as shown in the images its very fade the straps have very less cushioning and the bag material also feels cheap padding is not adequate you can find better quality bags than this in your nearest store dont go fot it ,colour bright show image fade strap cushioning bag material feel cheap padding adequate find well quality bag near store not fot,0.383333333,128,5.142857143,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
39,39,1,Worst ever experienced on Amazon.,This is just 4-500 rs bag or better to say the 2nd copy of the American Tourister. The overall quality is the lowest - does not match from an inch of original A.T products. I am returning this product just after 30 minutes of receiving.,This is just rs bag or better to say the copy of the American Tourister The overall quality is the lowest does not match from an inch of original A T products I am returning this product just after minutes of receiving ,r bag well copy American Tourister overall quality low match inch original T product return product minute receive,0.09375,114,5.388888889,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,,,
40,40,1,Poor quality product!,"American Tourister is encashing their brand image to sell poor quality products online. A tear has developed in the bag. I can clearly see that it is because of the poor material that was used for the ""bottom base"" of the bag. Ihave used the bag moderately for 3-4 months with approx 2 kgs of weight in it (no sharp edges, mostly water bottle and 1-2 notebooks). I doubt that, if the same bag was used by children to carry their school books, it would not be difficult to assume that it could last even a month. Also American Tourister is customer support is not responsive, they do not even bother to reply to e-mails.Update: American Tourister did respond in the second attempt and agreed to replace the item. However it is actually a greater headache to go to the service center and have the bag replaced than to buy a new bags keeping the COVID in mind.",American Tourister is encashing their brand image to sell poor quality products online A tear has developed in the bag I can clearly see that it is because of the poor material that was used for the bottom base of the bag Ihave used the bag moderately for months with approx kgs of weight in it no sharp edges mostly water bottle and notebooks I doubt that if the same bag was used by children to carry their school books it would not be difficult to assume that it could last even a month Also American Tourister is customer support is not responsive they do not even bother to reply to e mails Update American Tourister did respond in the second attempt and agreed to replace the item However it is actually a greater headache to go to the service center and have the bag replaced than to buy a new bags keeping the COVID in mind ,American Tourister encashe brand image sell poor quality product online tear develop bag clearly poor material base bag Ihave bag moderately month approx kgs weight sharp edge water bottle notebook doubt bag child carry school book difficult assume month American Tourister customer support responsive bother reply e mail Update American Tourister respond second attempt agree replace item actually great headache service center bag replace buy new bag keep COVID mind,-0.106818182,468,5.7,"(3.4, 5.8]","(5.5, 6.0]",0,0,TRUE,,,,
41,41,1,Poor quality product,Product quality is poor. net has torn and bag material is poor. It seems duplicate American touristor product. Last year I bought American touristor bag from shop and quality was superb. This time I bought it from Amazon and it is poor quality,Product quality is poor net has torn and bag material is poor It seems duplicate American touristor product Last year I bought American touristor bag from shop and quality was superb This time I bought it from Amazon and it is poor quality,product quality poor net tear bag material poor duplicate american touristor product year buy american touristor bag shop quality superb time buy Amazon poor quality,-0.028571429,165,5.64,"(3.4, 5.8]","(5.5, 6.0]",0,0,TRUE,,,,
42,42,1,Genuinely Bad Product - Very Dissapointing,"I am so dissapointed seeing the product. Something that looks so good on the site can turn out into something so hideous...thats strange. The quality of the bag is just like polythene. Also, looks so worn out and old. No doubt I am gonna return this. But thats another trouble...the return policy for this product is too complicated. Be ware before ordering this.",I am so dissapointed seeing the product Something that looks so good on the site can turn out into something so hideous thats strange The quality of the bag is just like polythene Also looks so worn out and old No doubt I am gonna return this But thats another trouble the return policy for this product is too complicated Be ware before ordering this ,dissapointed see product look good site turn hideous s strange quality bag like polythene look worn old doubt go to return s trouble return policy product complicated ware order,0.01,177,5.137931034,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,,,
43,43,4,Bag is good but fabric feels cheap.,Bag is good and spacious. It has 3 large compartments with bottle holder on either side and a bunch of pockets inside front compartment for stuffs like earphones.The only downside is that the fabric feels a bit cheap and there is no laptop compartment.,Bag is good and spacious It has large compartments with bottle holder on either side and a bunch of pockets inside front compartment for stuffs like earphones The only downside is that the fabric feels a bit cheap and there is no laptop compartment ,Bag good spacious large compartment bottle holder bunch pocket inside compartment stuff like earphone downside fabric feel bit cheap laptop compartment,0.438095238,151,6.238095238,"(5.8, 8.2]","(6.0, 13.0]",1,1,TRUE,,,,
44,44,5,Value for money.,The bag is very light weight and its looks so cool. At the first sight i think its cant carry much weight but after that i put 15 kg weight and hang it for 2-3 hours and the bag easily passed that test. And due to this pandemic situation i cant travel with this bag but i think it may pass the extreme travel condition. Nothing say about water resistance.  But at last im pleased with the product.,The bag is very light weight and its looks so cool At the first sight i think its cant carry much weight but after that i put kg weight and hang it for hours and the bag easily passed that test And due to this pandemic situation i cant travel with this bag but i think it may pass the extreme travel condition Nothing say about water resistance But at last im pleased with the product ,bag light weight look cool sight think not carry weight kg weight hang hour bag easily pass test pandemic situation not travel bag think pass extreme travel condition water resistance be please product,0.264583333,201,5.121212121,"(3.4, 5.8]","(5.0, 5.5]",1,1,TRUE,,,,
45,45,2,Looks good only in image,Looks good on images when the product arrived was.very dissatisfied as this is a first copy item not the original. Padding in the bags were poor and stick was imperfect. This cannot be a original American touristed.,Looks good on images when the product arrived was very dissatisfied as this is a first copy item not the original Padding in the bags were poor and stick was imperfect This cannot be a original American touristed ,look good image product arrive dissatisfied copy item original padding bag poor stick imperfect original American touriste,0.21,122,6.235294118,"(5.8, 8.2]","(6.0, 13.0]",0,1,FALSE,,,,
46,46,5,nice bag,very good purchase at rs 959.. good quality and same as shown in the pic.. go for it!!,very good purchase at rs good quality and same as shown in the pic go for it ,good purchase rs good quality show pic,0.7,38,4.571428571,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
47,47,2,Not worth it,The American Tourister bags quality is really going down. I have been using a bag from American Tourister bag for like 4 years and quality is really good but now news bags quality and colouris not worth buying anymore.,The American Tourister bags quality is really going down I have been using a bag from American Tourister bag for like years and quality is really good but now news bags quality and colouris not worth buying anymore ,American Tourister bag quality go bag American Tourister bag like year quality good news bag quality colouris worth buying anymore,0.25,130,5.55,"(3.4, 5.8]","(5.5, 6.0]",0,1,FALSE,,,,
