,Rating,Review title,Review
36,5,Worth for money,"Writing tjis review after using this product for some weeksFirst i have to say one thing that this is absolute worth for moneyIts water resistant and they are also  providing a rain coat with itIt's user friendly bcz its light weiaght and have enough space for keeping the things inIt's perfect for school, office, and travel purposesMy younger brother is also using this productIt's absolutely perfect for any purposes and for all age group"
37,5,American tourists 32 Ltr grey,"Dear friend , I ordered this bag and now I fully satisfy with its quality and space in it. And delivery was too good. I purchase it 918 rs and after I got some another discount so effective price is 780 rs. So if u want buy this bag so u can purchase it."
38,3,Not good,"The colour is not as bright as shown in the images its very fade,the straps have very less cushioning and the bag material also feels cheap, padding is not adequate you can find better quality bags than this in your nearest store,dont go fot it."
39,1,Worst ever experienced on Amazon.,This is just 4-500 rs bag or better to say the 2nd copy of the American Tourister. The overall quality is the lowest - doesn't match from an inch of original A.T products. I am returning this product just after 30 minutes of receiving.
40,1,Poor quality product!,"American Tourister is encashing their brand image to sell poor quality products online. A tear has developed in the bag. I can clearly see that it is because of the poor material that was used for the ""bottom base"" of the bag. Ihave used the bag moderately for 3-4 months with approx 2 kgs of weight in it (no sharp edges, mostly water bottle and 1-2 notebooks). I doubt that, if the same bag was used by children to carry their school books, it wouldn't be difficult to assume that it could last even a month. Also American Tourister's customer support is not responsive, they don't even bother to reply to e-mails.Update: American Tourister did respond in the second attempt and agreed to replace the item. However it's actually a greater headache to go to the service center and have the bag replaced than to buy a new bags keeping the COVID in mind."
41,1,Poor quality product,Product quality is poor. net has torn and bag material is poor. It seems duplicate American touristor product. Last year I bought American touristor bag from shop and quality was superb. This time I bought it from Amazon and it's poor quality
42,1,Genuinely Bad Product - Very Dissapointing,"I am so dissapointed seeing the product. Something that looks so good on the site can turn out into something so hideous...thats strange. The quality of the bag is just like polythene. Also, looks so worn out and old. No doubt I'm gonna return this. But thats another trouble...the return policy for this product is too complicated. Be ware before ordering this."
43,4,Bag is good but fabric feels cheap.,Bag is good and spacious. It has 3 large compartments with bottle holder on either side and a bunch of pockets inside front compartment for stuffs like earphones.The only downside is that the fabric feels a bit cheap and there is no laptop compartment.
44,5,Value for money.,The bag is very light weight and its looks so cool. At the first sight i think its cant carry much weight but after that i put 15 kg weight and hang it for 2-3 hours and the bag easily passed that test. And due to this pandemic situation i cant travel with this bag but i think it may pass the extreme travel condition. Nothing say about water resistance.  But at last im pleased with the product.
45,2,Looks good only in image,Looks good on images when the product arrived was.very dissatisfied as this is a first copy item not the original. Padding in the bags were poor and stick was imperfect. This can't be a original American touristed.
46,5,nice bag,very good purchase at rs 959.. good quality and same as shown in the pic.. go for it!!
47,2,Not worth it,The American Tourister bags quality is really going down. I have been using a bag from American Tourister bag for like 4 years and quality is really good but now news bags quality and colouris not worth buying anymore.
48,4,Good one though,The bag is good. I just received the product so can’t say abt the durability but its AMT so hope it will be durable. In both the pics of amazon & mine u can see that the print on the front side of bag is bright orange but in real eyes they appear dull mostly like reddish orange. To be exact like the colour of brick. Otherwise everything is awesome.
49,3,Nice bag but for a 4th grader,"I bought this bag a few days ago. I was very excited as it was an AT bag but on recieving the bag, I was disappointed. It's polyester material is very thin and also the stitching seemed shady. Requested a refund today. This is a nice bag, don't get me wrong, but for a kid in 4th standard."
50,1,Loose threads are coming out,"Threads are coming out , loose threads . I think this is export rejected quality from American tourister.. overall not satisfied"
51,2,Very low quality bag,This bag is not what is made to look like in ads. They are selling very cheap bags by showing virat's face. Bag is not at all over 500 rupees. I usually give good stars to most items but this time I can't lie knowingly.
52,1,It's not worthy and looks very cheap !,"It's not worthy, first of all it's expired model means it's not latest and second this is, if someone want latest model bag then I'll suggest to them go-to mall because mall gives 50percent discount , last I visited at mall and the latest model bag cost wast 1500 hundreds only /-"
53,1,Colour different,"The colour while booking & the product delivered is very different in colour. It looks bright orange colour on App while booking, but the colour was dull red at the time of Delivery."
54,3,not satisfied,"likesI like the look of the bag. it is water  resistace and have 3 compartment which is very good it is lightweight bag which is good for travalling purpose...dislikesI didn't like the build quality of the bag .its buildquality is very poor in this price range.laptop compartment is not provided.there is no raincoat provided.so overall I can suggest you that, you can move to safari bagoacks they are much better in this price range."
55,1,DONT buy it,I wish I could give a zero star rating. the bag has really bad material and the colours from the bag wee falling and removing like plastic. the chain on the first zip was different and on the last was different. it feels cheap and is horrible.I WARN YOU. ITS PURE TRASH. DONT BUY IT. TRUST ME
56,1,Worst Quality Product,"The bag is totally different in original from what it is shown, seems like it is a third copy of American Tourister.It hardly amounts to 200-300 Rs and they are charging Rs1000 for it. Better to boycott shopping things from these apps, had a very bad experience of shopping with Amazon."
57,5,"Worth every penny , Nice looks","It's a good bag , colors are very subtle and nice. It's a very good value for money , zipz , pockets , material everything is spot on.My son is going to use it as a school bag , he loved it and is excited to start his new session with this bag"
58,5,It's more than worthy,Best quality assurance......I have been using for 4 months.....it's good quality material....my rating 5/5 ..........thanks Amazon....and guysss u can buy it without any fear.....it's a great peoduct
59,1,Very bad quality,Very unhappy with this product... I brought for my Brother but such a big company brand #americantourister was now a day's nor focusing on quality... With usage of 2 month's only bag was damaged .. stitches was gone from different place... It look like 2 year old bag.. so much disappointed...
60,3,Good product,"Four package partitions, two bottles carrier, water resistant & light weight. Nice look, Colors & cool design.Negative points: Looking to the price, material seems very thin & getting wrinkles most often. That could make you feel ashamed in public. No arrangement partition for laptop.Overall good product, from American Tourister (hopefully)"
61,1,American Tourister sucks,"Its not a well thought out and researched product, it's heavy and not at all flexible.The front pocket has just 1 chain zip, so if u want to take one item out you need to expose and risk falling out most of ur contents.I was an American Tourister fan for years.Earlier i had been using using a AT backpack for 8 years. All of that good will is in tatters now."
62,3,Neither satisfied nor dissatisfied.,"Yes, the product received is exact to what was displayed. But this is an ordinary one. By viewing the name American Tourister, I purchased this bag. Wouldn't have purchased physically. This is the problem with online shopping. You never get the right feel."
63,3,Good for school bag.,It is light weight but material used in is not up-to mark. Next the back support stitching is too not comfortable. Rest are OK. Inner lining is very good. For school bag it's perfect but those want a travel bag they must go for a little better option.
64,4,Great one.... Can buy for Regular use,Bag is great looking...But laptop pouch is not provided....That was a little bit problem...And also about bottle holder.. little bit lover grade...Other than that it is a awesome product...A funny thing is the bag brand is American tourister... But made in China....
65,2,"IT'S NOT WORTHY, IT'S DUPLICATE BRAND","If it's sale around Rs.600 To Rs. 700 Indian Rupees, than it's worthy, if it's price more than Rs 700/= than don't buy, because it's not worth. Also it's not original.Better not to buy this duplcate product."
66,3,Not worth for money,"Average quality of bagIt's not Laptop bag, there is no laptop space in thisZips are too localWorth of just 400 to 500 rupees"
67,5,Nice design but quality improvements needed,"After seeing so many reviews , still I ordered it.-Light Weight-Design is good- Quality looks of low type but is supported by good base and back comforter.-For regular basis , I would have not purchased it , but occasionally It can be roughly used.- Got it @466 and it's totally worth it. Paid ₹999/- but got ₹533/- cashback at Amazon pay balance.MRP is ₹2300/-- Keep in Mind , IT IS MANUFACTURED IN A CHINESE SOURCE"
68,5,Value for money.,"Light weight. Good for everyday use. Not water resistant material. Although items inside the bag do not get wet, the outer material gets wet and needs to be dried overnight if used in rainy season. Got the delivery, the next day itself. Happy for that."
69,5,Perfect bag for school college or for travelling,Perfect bag for school college or for travelling..... Too much space in bag..... Perfect quality.... 💯satisfied with bag... Thank you Amazon
70,5,loved it Thankyou Amazing service by Amazon ❤️❤️❤️,Product Quality has to be more good in Quality in terms of the polyester material which is used in it has to be good in Quality as by looking the bag it seems the outer material is sensitive amd will tear easily but in such a way after testing from 2or 3 times it is good as it last long in 800 its Wroth of it #Amrican_tourister
71,2,Use it as travel bag only,I got this product in great Indian sale 2020.Nice product.Light weight.Water resistant but not water proof.Use only for travels and tours.I bought it to use as a school bag but not that much quality to withstand it.Quality is very much lower than expected.Thought to return but decided to use it as travel bag.Good packaging.
72,5,Best Casual backpack..,It is not an laptop bag..This is just an casual backpack which is good at the price which I got in lighting deal around 500Rs .Worth it.
73,4,Good product,"Good water resistant product. Because of light weight, durability  is not sure. But overall a good looking, water resistant product. Size is smaller. No separate hard  compartment for laptops, although 2 big  compartments are there."
74,5,No warranty stamp or date,The warranty certificate it is attached to d bag but it does not have dealer stamp and date so where to go if any issue with the product within 1 year??
75,3,Can't complain.,"It's a good enough bag. Not sure if it is original or not, but serves the purpose very well. Been using this bag for around 2 years."
76,1,Do not buy this and look for other options,This product does not waterproof or water resistant. Even a simple water splash can get things inside the bag wet. Zip quality is poor and messy. Print on the bag is very dull and does not standout. Not spacious and the quality is not up to the mark. Try different brands.
77,4,Good but at this price little low quality as expected from American tourister brand,I was expecting a little better quality but it is little bit weaker in that section and has not expected by American Tourister to make this kind of bag. Overall the bag is good
78,1,3rd class,Cheap quality at this price.. Cracks can be seen on the bag after using for a month only. Bottle holders are torned out. Don't buy
79,1,Disliked the product but Poor quality,"The stiches of the bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now"
80,3,Just OK.,Good spacious bag. Though nephew uses it as his school bag. Studies in 4th std.Material is a on a thinner side. External net pocket  for water bottle tore within 15 days.
81,4,Product Quality not upto its Standard,"This product is not so durable, after some use lower portion of this bag destroyed its outer layer and comes its foam out from its inner layer"
82,2,Average Product,Average Bag..The inside partitions for sleeves are very cheap nylon type material. Didnt expected that from a product of renowned Company.No laptop sleeve though.But the product is genuine as the warranty card has all details.
83,5,Love this bag,Its same as shown in the picture and the quality is superb. I dint find it light weight like wildcraft but it's a worthy product and the inside quality of the bag is too good.
84,1,One Star,Stichting started coming out in a weekVery poor quality
85,4,Serves the purpose,Didn't do the water resistant test yet. But the bag looks good and the quality is quite satisfying. Best buy for sure and it will last for atleast for 2 years
86,5,Water resistant but not a laptop carrier,"It is really water resistant.I'm a student of IIT Kharagpur.Generally, it will be raining here a lot , the weather seems pretty good , but after a few minutes it's going to rain.Water resistance of this product is really appreciated and even the space you get from it.This is not a laptop bag.... Notice this."
87,3,Good Product.,"This American Tourister College bag is made of Nylon Materials, and the weight is very light, with big and ample storage, if you are carrying less weight, like Lunch Box, Dairy, pens and other lighter materials then it suits you."
88,5,"Style, Comfort, Quality.","I Really loved this Bag good material, and super stylish light, weight more Convenient for travel and Business purposes in such a Great Price. But now I returned the Bag for Upgradation.Thanks to Amazon's friendly and easy 30 Days Return Policy Where the returns Made Easy!"
89,4,Ok product bit hi,Still not used in rains so can't comment on waterproof guaranteeVery spacious but could have given still better interior designStill not yet rugged the same.
90,3,"No compartment for laptop inside, other than that very good","Bag is good, durable. But actual color looks a bit dull compared to picture and it was my mistake to read reviews that there is no compartment inside for laptop."
91,5,Good product.,Good product .Not as expected but almost looks like as expected. Nice style but interior fabric quality is not very good as we expect from American tourister.Nice space and sufficient for travelling for 4-5 days.
92,2,Dont buy..,Its ok product. Not user friendly.. Back dont have proper support  no laptop cabinet However good product light weight.. This price range better option available.
93,2,For Lite usage,1) Quality was not upto the mark.2) It is for lite usage but I actually bought for college purpose.3) Look and feel is like lower quality plastic bag.It won't be upto an American tourister brand expectations.
94,1,Worst quality from American tourister,It's the worst bag ever bought online. Please don't waste money on this bag because it's not worth more than 200. The look of the bag is good but if see the quality of the product it's worst. The inner fabric is not so good. I was just surprised to see that it was a bag of American tourister. I would recommend that don't buy this bag.
95,1,It's price is not worth at 1035/-,I bought it for 768/- and from next day they started displaying its price 1035/- i.e. an attempt to discourage from further purchase!The second zipper from top is designed faulty as it carries risk of being left open & goods lost.It should not have continued till complete depth of the bag.
96,4,A little issue,"It is good bag, durable , water resistant and light weight too, the only issue is this bag has no backbone. If u keep it somewhere it will bend or fall but it won't stand straight. And besides this issue there is nothing else to worry abt. It's really good bag"
97,5,Stylish bag,Amazing bag loved it looks classy and stylish and its strong enough and the product I recieved was completely fine without any damage.
98,1,Fake or Copied Item,"The material of this bag is very thin and weak, it's obviously a fake or copied itemHence they're selling it for ₹849/- only"
99,2,Average quality,"Average quality product, i am astonished to know that big brands are also producing this kind of quality..."
100,4,"Solid product, only one problem","Writing review after 3 months of daily usage.Very well stiched and official product from American tourister, the only bad thing about this product that the orange coloured shiny finish tends to wear off after 1 month of use. It has already started chipping from different places. Overall, this bag is a solid 4 out of 5 stars"
101,1,Bad Quality,Worst product. I have been using American tourister bags from long but this is the worst product I have ever purchased from them. Stitching of bag is very poor and It has 1 year warranty and when I went to the showroom they are not approving it for the replacement. Dissapointed with their services.
102,5,Very good quality,I LIKE THE BAG STABILITY IF YOU ARE GOING TO BUY A SCHOOL BAG GO FOR THIS. I HAVE SKYBAG SCHOOL BAG BEFORE BUT IT IS NOT A GOOD PRODUCT I BUY 2 BAGS BOTH COLORS ARE DULL AND LOOK LIKE OLD BUT AMERICAN TOURISTER HATS OFF TO YOU.
103,5,Great product at great price.,"I've used this backpack for many purposes, be it as a regular college bag, as a travel bag, as a place to hide things from my younger brother ;p....and it never let me down.And, it's really great to get such product at such price.Also the brand ""American tourister"" is well known, so you can rely on their products."
104,5,Lovely red backpack,Good packaging and good quality product. It's very light weight with much space. Love the colour and design. Go for it
105,5,best product I ordered from Amazon,It's awesome bag for college students and for travelling also this is the one of the best product I ordered from AmazonReally satisfied with this bag and American tourister is also awesome company
106,3,Ok product.,"I have never used AT bags, so wasn't aware of their style. I have always used skybags, they never fall short of excellent product. The material is thin, although there's lot of space in the bag. I am actually not happy with the quality of the product. May be they have designed it keeping in mind the space provided inside the bag. Overall it's a good product from AT."
107,4,Good to buy it..,"It is sturdy and comfort to hold on to our back..and it's light weight, I bought it for my laptop and it's 17"" inch it fits well it this bag and drawback is it has no rain cover..overall it is good to buy"
108,1,Poor quality,"Really poor quality material of this bag, I wonder if it’s a genuine American tourist et. We’ve always used skybags & I regret changing tk this as the material is very sturdy n poor."
109,5,Very good backpack,"Overall, a very good product. Good quality zip. Attractive looks. Recommend for daily use and also for short trips. 😊👍🏼"
110,1,Waste of Money and duplicate brand.,Material doesn't seems to be original American tourister as with in a month bags inner material got torned.... Also the outer layer got cracks.Better to purchase from market instead on Amazon. Seems a duplicate brand material is getting sold online
111,5,"Other than water resistance, best product","Only its water resistance is not upto the mark.  In heavy rains, it fails.  Otherwise, best product for keeping clothes for travelling purpose or even keeping heavy items in it."
112,1,Look's Like duplicate American Tourister Bag,"I'm not happy with the bag Quality, The inner Partition cloth is feel so cheap & the bag quality is also cheap. It's looks like fake or the First copy of the American Tourister Bag.I don't recommend other peoples to buy this one."
113,4,Best quality,"I liked everything about this bag but the zips could be a little bit stylish like wildcraft bags and this is not completely water resistant,it can control only a little water if it's more the water goes in and I think it was good if i had a laptop compartment in this bag except that it is an excellent bag for schools and colleges"
114,5,Excellent Quality & Trusted supplier /  Paisa Vasul Product.,Traveling and light weight Product perfectly.Water resistant  quality product ration is 85% nearby.
115,5,Awesome design and I am first with this bag in my school,"Really really awesome. It's a new design, not common.. It provides too much space for my heavy books. My friends always talk about my bag and it's new design and the best thing is its price so cheap, I explored this bag on some other sites also but I got the best price on this site.  Thank you amazon for providing such a fantastic bag to me......"
116,5,Durable,"I use this bag for like a year or so and it's still durable. I use it daily, many people even step on it when I travel in bus but its stands strong."
117,2,Doesn't worth the price,Less space if you're buying it for travel purpose... And low quality as it's not strong enough to handle the weight heavy books if you're looking for school purpose. ..you can get any other bag of this type on lower price  of any other company... Doesn't feel like its really American tourister.
118,5,Color impressive ...as for carrying too.. for trips looks impre,"No dislikes within this product, colour is attractive mode, insights r awesome to place our belongings like hand kerchief, bottles, pocket wallets... it'll be more feasible for endured travelling s for the time being of occasions, trips,festives...etc"
119,2,Quality,It was not upto my expectations.As I am already using American Tourists bag pack.The quality compared is too low.And the provision of double le zips not provided.
120,4,Spacious and sturdy,Looks good. Size is fine for school. Quite spacious.will update the review if I see any issues after some time because of  weat and tear.
121,1,Not worth for money,I did not expect that American tourister does sell so cheap quality products too. Hmm.. we need to be careful next time
122,4,"Weight, volume, looks , and Quality",Yes this is actually a light weight bag having a good quality of material.It's not that much water resistant but it has rubber coated material on front pocket which resists water very well.Enough amount of space and pockets with bottle holers both side.Lookwise it's decent in a funky way. Can hold packing of 3-4 days ( may be of a week for some boys 😂)
123,1,Which were shown not delivered,"We received bag today but it is regretted to inform you that bag is without rain cover,  however,  it was avialable with this bag.  So kindly send rain cover of the same"
124,5,Good light weight bag for school/college!! 😍,"The colour of this bag is not exactly what's shown on the website or in my camera images. But it's a kind of a less brighter red.But the quality of the item is really good considering the price it's available at.I bought it at 849/- only.Beautifully light weight, and made of good standard branded material.Buy it ❤️🤟"
125,3,It's good for collage students...,1)The quality what we see in picture ..And what we get after ordering is some bad..2)Just ok ok worth of money3)No rain cover given with it4)poor packing from Amazon department.. 😑5)you will love when you use it . ❤️
126,5,Enough Space,Easy to Hold
127,1,Don't Purchase Poor Quality Cloth is Used....!,Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!
128,4,Material quality is avarage not as expected!!,"Packaging is very poor, not expected this poor quality packaging from Amazon Prime.Very disappointed with this experience..Water resistant is not good. Bag is light weight it's good. But material quality is avarage not as expected!!!."
129,4,Value for money considering the brand and capacity,"Good value for money, good for short travel. Quality is ok, not so good not so bad. Considering the price and capacity it's a good product."
130,4,product is perfect and of well quality but overpriced at the time of purchase,product is as described...... delivary and packaging no issue.......no words to complain....i bought it at 1100 urgently which is overpriced.... you can buy this bag at rupees 799 or 849 !!!take my advice and wait for sale😀😀
131,4,It's ok,"This bag is so nice regarding quality at price of 899₹, zips are of good quality, but the bottle holding part on both sides will become looose that they can't hold a bottle after few days. As I used this same bag before also."
132,4,Cool👍,"Everything's fine but the White part ain't so good... Cause its not made up of fabric and if it touches harsh objects, it might come out a lil bit... Dw not so much, requires maintenance ✌🏻"
133,4,Good,Good quality on outer side. Inner material is good but could have been better. Water resistant is good but not the best atleast at this price point they could have given a good material. Overall good looking and light weight.
134,5,American Tourister Casual Backpack,"the description given by the supplier is accurate, it work well for daily use."
135,2,Very dissappointed only after one month of use,Not expected something like this from a brand like American tourister.The stitching started to fall apart with in a month's use. And it's not even used in trips or to carry heavy load of books. Only a laptop. Not sure what to trust if a brand Ike this cannot be durable for even 1 month.
136,1,not worth for free not money,worst bag ever. if this is american tourister then its better tk buy local bags from market which are much more better n cheeper from this. its not good to say that its not worth for money its not worth for free also.
137,1,Quality,Product is not same as shown and quality is very bad. I checked it. I put my charger in that and I think I have left my charger inside the bag and sent it to return. Kindly help me with that.
138,5,Go for it.,"All good , bag is in good condition after 1 month usage . Comfortable , light weight , same to same as shown in picture , I m happy with the product . Suitable for carrying cloths for  holidays(3/4) and around 10 books/copies . From my side just go for it ."
139,5,Awesome  design bag  American Tourister 32 Litre grey backpack  #1 best seller,"Dear friends, I ordered this bag bag and now I Fully satisfied with its quality ,space and colour  and deleviry was too good I purchase it 799 rsIf you want to buy this bag so you can purchase it. I am fully satisfy with AmazonThank youAshish meenacustomer"
140,2,Quality not satisfactory,"Stitching quality was not as per my expectations, I have two more AT back packs and in comparison to them this back was nothing in quality.I returned it."
141,3,Good quality but looking wise cheap..,Quality is good but looking wise is not so good its look like cheap bag.. but quality and space vise is good...
142,5,Nice product for college purposes👍,As always American Tourister proved to be nice enough. I was using an American Tourister for last 3-4 years and here again it is a nice product. If not used to carry tins of luggage or rubbed and thrown on rough surfaces vigorously then it will last many days I believe.
143,5,Its light weight,Very attractive colour and best quality light weight material used.
144,5,Good buy!,American tourister so the brand says it. Lightweight and compact. And got it for a good deal on Amazon
145,1,Do not buy this...,I had to gift this to my friend and i had delivered it at my friends address and he found it soo bad he claimed the product is really yucck.......Worthless
146,5,Best in class,Very nice and useful bag for travelling. Quality is also good
147,4,Value for Money,"This is definitely a good product. No doubt you can go for it but only problem is that it is not water resistant. So make sure if you are buying this prevent from the water, don't take it out on rainy day."
148,1,Bad Product.,"One of my worst decision to buy this bag. Not even a month and the stiches are off. The chain gets detached. 2 times I repared locally because the chain didn't close. From inside the bag, threads are not stiched.Plz think twice before ordering this bag."
149,5,Really a good bag,"Personally, i like this bag, it has more slots for pen, wallet .... But water resistance is some what ok, for that i given only 3 star.... But basic level water spill over on bag is okay, but rain and all not at all useful"
150,1,"Defective, Returned",Returned as item was defective.Stiching was not proper at one place.Seems these are either first copy or defected/rejected  stock.
151,1,I recive Fake american touriter bag it quality poor,I recive Fake american touriter bag it quality poor itBag cloth quality poor i return it don't buy it only u waste your time
